Model,Top1 Acc ,Macro F1,Macro Precision,Macro Recall,Mean AUC,Inf. Time (ms),Size (MB)
YOLOv8n,92.3,0.922,0.9243,0.9238,0.9941,4.76,2.8
YOLOv8s,90.51,0.8983,0.9041,0.9026,0.9874,7.64,29.3
